2025-11-24 15:38:25 [main] INFO  org.example.Sample$ - table is created
2025-11-25 12:01:19 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:01:19 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:01:19 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 12:06:28 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:06:28 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 12:33:13 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:33:13 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:33:13 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-25 12:36:31 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:36:31 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:39:14 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 12:39:14 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:18:34 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:18:34 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:19:13 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:19:13 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:20:57 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:20:57 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:24:55 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:24:55 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:27:05 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:27:05 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:27:05 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 14:28:49 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:28:49 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:28:50 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 14:31:58 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:31:58 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:31:58 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 14:48:30 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:48:30 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:48:30 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 14:50:39 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 14:50:39 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:00:19 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:00:19 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:00:19 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 15:05:02 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:05:02 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:05:02 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 15:06:40 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:06:40 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-25 15:06:40 [main] INFO  MVC.Main.TradeController$ - trade execution happen succesfully
2025-11-25 15:07:55 [main] INFO  MVC.Config.DBConnection - connection established
